eqNumber;garduInduk;merk;serialId;techidentno;id;bay;phasa;tipe;jenisAsset;status
TRS000000000492042;GI 150KV TAMBUN;SIEMENS;K35013605;14314211911900000034;ac7bb703-55b0-43ac-9de9-0f0b25f3ed6f;TRF#2 150/20KV;RST;3AQ1EG;Circuit Breaker;PLN_OPERASI
TRS000000000489241;GI 150KV TAMBUN;UNINDO;A9615189-04;11314211911900000001;d55d2d53-5657-4323-a625-7662e5883e5a;TRF#2 150/20KV;RST;TTHRV;Power Transformer;PLN_OPERASI
TRS000000000494002;GI 150KV TAMBUN;ABB;75275420;16314211911900000032;8862a510-f379-4a03-8923-0510f11d5d6b;TRF#2 150/20KV;R;PEXLIM Q132-YV170;Lightning Arrester;PLN_OPERASI
TRS000000000493999;GI 150KV TAMBUN;ABB;75275422;16314211911900000027;ff89d015-7691-4f23-84bd-3b73e00ae141;TRF#2 150/20KV;T;PEXLIM Q132-YV170;Lightning Arrester;PLN_OPERASI
TRS000000000493996;GI 150KV TAMBUN;ABB;75275421;16314211911900000013;84d45628-3de9-4c40-a200-87ead096c483;TRF#2 150/20KV;S;PEXLIM Q132-YV170;Lightning Arrester;PLN_OPERASI
-;GI 150KV TAMBUN;HITACHI;1001010747-001A/B/C;14351811911900000117;5c42b17a-7837-40c9-a170-a59bc6e02e0c;PHT 150KV NEW TAMBUN#2;RST;LTB170D1/1P;Circuit Breaker;PLN_OPERASI
TRS000000000493997;GI 150KV TAMBUN;ALSTOM;3942550;16314211911900000024;09495f12-68a6-45a0-a353-b5891a033161;PHT 150KV NEW TAMBUN#2;S;PSC 150 Y;Lightning Arrester;PLN_OPERASI
TRS000000000493994;GI 150KV TAMBUN;ALSTOM;3942551;16314211911900000006;3755c3d2-d412-469b-bc29-0f3ad5d4de2d;PHT 150KV NEW TAMBUN#2;T;PSC 150 Y;Lightning Arrester;PLN_OPERASI
TRS000000000493998;GI 150KV TAMBUN;ALSTOM;3942549;16314211911900000025;0e14b0ce-b617-4ed7-a10e-9d6a1b1eabd5;PHT 150KV NEW TAMBUN#2;R;PSC 150 Y;Lightning Arrester;PLN_OPERASI
TRS000000000493782;GI 150KV TAMBUN;ALSTOM;3942543;16314211911900000019;8c67e534-8418-4d9e-8104-f0f48feeddd7;PHT 150KV GANDAMEKAR#1;R;PSC 150 Y;Lightning Arrester;PLN_TIDAK_OPERASI
TRS000000000493784;GI 150KV TAMBUN;ALSTOM;3942544;16314211911900000021;208c45ef-9fc4-40e2-b5cb-ab9ca9674961;PHT 150KV GANDAMEKAR#1;S;PSC 150 Y;Lightning Arrester;PLN_OPERASI
TRS000000000493783;GI 150KV TAMBUN;ALSTOM;3942545;16314211911900000020;90c86ad2-fcf6-410a-a9d1-a778f628792c;PHT 150KV GANDAMEKAR#1;T;PSC 150 Y;Lightning Arrester;PLN_OPERASI
-;GI 150KV TAMBUN;ALSTHOM;12313036006;14351811911900000114;4c496189-710d-4775-b1be-47510d32d3b0;PHT 150KV GANDAMEKAR#1;RST;GL 313 F1;Circuit Breaker;PLN_OPERASI
-;GI 150KV TAMBUN;SIEMENS ENERGY;URG/25120794;16351811911900000044;c821cb40-135a-48ed-a274-0a72c5c0426d;PHT 150KV GANDAMEKAR#1;R;3EL2 132-6PP42-4TA1-Z;Lightning Arrester;PLN_OPERASI
-;GI 150KV TAMBUN;SIEMENS ENERGY;URG/25120791;16351811911900000042;6ba3c969-421b-4fa7-a682-1bad3abe12d1;PHT 150KV GANDAMEKAR#2;S;3EL2 132-6PP42-4TA1-Z;Lightning Arrester;PLN_OPERASI
-;GI 150KV TAMBUN;SIEMENS;K40046534;14351811911900000005;1d1b007b-8d9d-4bf3-b326-c93209814aeb;PHT 150KV GANDAMEKAR#2;RST;3AP1 FI;Circuit Breaker;PLN_OPERASI
-;GI 150KV TAMBUN;SIEMENS ENERGY;URG/25120792;16351811911900000043;bc938369-6b94-4315-a324-4672d6124bf8;PHT 150KV GANDAMEKAR#2;T;3EL2 132-6PP42-4TA1-Z;Lightning Arrester;PLN_OPERASI
TRS000000000493781;GI 150KV TAMBUN;ALSTOM;1620100617;16314211911900000009;ea10dec2-0364-4e3a-9119-a74ba7bb76cc;PHT 150KV GANDAMEKAR#2;T;PSC 150 Y;Lightning Arrester;PLN_TIDAK_OPERASI
TRS000000000493785;GI 150KV TAMBUN;ALSTOM;1620100616;16314211911900000022;b444b8c3-f88c-4c86-a4db-0fc185cc3fc2;PHT 150KV GANDAMEKAR#2;S;PSC 150 Y;Lightning Arrester;PLN_TIDAK_OPERASI
TRS000000000493786;GI 150KV TAMBUN;ALSTOM;1620100615;16314211911900000023;c2c31e92-4a77-460f-a54e-6215063f1e53;PHT 150KV GANDAMEKAR#2;R;PSC 150 Y;Lightning Arrester;PLN_OPERASI
TRS000000000638645;GI 150KV TAMBUN;ALCATEL CABLE;TMBUN1;DG314211911900000001;029e42bf-9162-4765-b229-a2f889010892;TRF#1 150/20KV (INC);RST;NA2XSY;Underground Cable 20kV;PLN_OPERASI
-;GI 150KV TAMBUN;SCHNEIDER ELECTRIC;2002921958-10-002;14351811911900000006;692eac41-ba23-4bb3-b962-29e6381bc65f;TRF#1 150/20KV (INC);RST;HVX24-25-25E254;Circuit Breaker;PLN_OPERASI
TRS000000000492178;GI 150KV TAMBUN;METAL DEPLOYE S.A.;NO DATA;29314211911900000001;f23b2c34-58ad-4324-aa65-56d05cf6d848;TRF#1 150/20KV (INC);N;NO DATA;Neutral Grounding Resistance;PLN_OPERASI
-;GI 150KV TAMBUN;ABB;17502008;14351811911900000115;a136d44a-9c43-43b2-88c6-b43bbd51adba;KOPEL BUS 150KV;RST;LTB245E1;Circuit Breaker;PLN_OPERASI
-;GI 150KV TAMBUN;SIEMENS;S 31618532;14351811911900000002;252cdc35-7b7b-4df4-9590-5c3ab260779f;TRF#2 150/20KV (INC);RST;3AH1264-4;Circuit Breaker;PLN_OPERASI
-;GIS 150KV NEW TAMBUN;RITZ;16/1009060237115;13351855555500000066;48e0cc6a-a34f-4fcf-bbed-e346a2b4f679;TRF#2 150/22KV (INC);T;GIS24-06;Current Transformer;PLN_OPERASI
-;GIS 150KV NEW TAMBUN;RITZ;16/1009060237113;13351855555500000064;c016549e-ae5d-4720-9d60-4cdf8d1d3b47;TRF#2 150/22KV (INC);R;GIS24-06;Current Transformer;PLN_OPERASI
-;GIS 150KV NEW TAMBUN;RITZ;16/1009060237114;13351855555500000065;2691164a-e3a2-4671-995c-a6ce60116ce1;TRF#2 150/22KV (INC);S;GIS24-06;Current Transformer;PLN_OPERASI
