event_ts,event_type_estimate,duration_ms_estimate,itic_magnitude_percent,worst_phase,min_cycle_rms_v,min_cycle_percent,highest_phase,max_cycle_rms_v,max_cycle_percent,time_of_first_point,time_of_trigger
2025-01-24T09:12:52.739Z,sag/dip,33.333,74.297,V3,64341.376,74.297,V3,85707.298,98.969,2025-01-24T09:12:52.609Z,2025-01-24T09:12:52.739Z
2025-01-24T09:12:52.779Z,normal-window,0,97.696,V1,84604.883,97.696,V3,85589.307,98.833,2025-01-24T09:12:53.688Z,2025-01-24T09:12:52.779Z
2025-01-30T13:25:30.054Z,sag/dip,13.333,87.308,V1,75608.376,87.308,V3,87959.443,101.57,2025-01-30T13:25:29.924Z,2025-01-30T13:25:30.054Z
2025-01-30T13:25:30.094Z,normal-window,0,100.031,V1,86626.702,100.031,V3,87589.097,101.142,2025-01-30T13:25:31.003Z,2025-01-30T13:25:30.094Z
2025-02-01T00:50:43.159Z,sag/dip,940.0,0.556,V2,481.808,0.556,V1,100060.045,115.543,2025-02-01T00:50:43.029Z,2025-02-01T00:50:43.159Z
2025-02-01T00:50:43.169Z,sag/dip,1080.0,1.211,V2,1048.875,1.211,V3,2605.503,3.009,2025-02-01T00:50:44.109Z,2025-02-01T00:50:43.169Z
2025-02-01T10:22:50.546Z,sag/dip,140.0,1.213,V2,1050.702,1.213,V2,96751.157,111.722,2025-02-01T10:22:50.416Z,2025-02-01T10:22:50.546Z
2025-02-01T10:22:50.556Z,normal-window,0,100.499,V1,87032.317,100.499,V3,87836.476,101.428,2025-02-01T10:22:51.496Z,2025-02-01T10:22:50.556Z
2025-02-01T20:19:04.136Z,sag/dip,13.333,85.18,V2,73765.638,85.18,V3,89559.592,103.418,2025-02-01T20:19:04.006Z,2025-02-01T20:19:04.136Z
2025-02-01T20:19:04.176Z,normal-window,0,102.156,V1,88467.281,102.156,V3,89373.332,103.202,2025-02-01T20:19:05.086Z,2025-02-01T20:19:04.176Z
2025-02-16T06:56:46.484Z,sag/dip,26.667,68.586,V1,59395.411,68.586,V2,88227.494,101.879,2025-02-16T06:56:46.354Z,2025-02-16T06:56:46.484Z
